Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Maryland Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT,Olde Mill Condominium Association,Olde Mill Condominium Association,21204-0000,2017,53500,Airport Citizens Committee,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Sinai Hospital of Baltimore, Inc.","Sinai Hospital Of Baltimore, Inc.",21215,2011,1445,Crisis Intervention and Victim Advocacy,Grant,1,06/30/2011 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Family & Children's Services of Central MD,Family & Children's Services Of Central Md,21209-4914,2011,14786,Lethality Assessment,Grant,1,06/30/2011 12:00:00 AM
Maryland State Department of Education - Aid to Non-Public Schools,DELL Marketing LP,Dell Marketing Lp,75267 - 6021,2015,80431.74,CIGARETTE REST. FUNDS -NONPUBLIC TEXTBOOKS,Grant,1,06/30/2015 12:00:00 AM
Department of Housing and Community Development/Maryland Affordable Housing Trust,St. Vincent De Paul of Baltimore,St. Vincent De Paul Of Baltimore,21218,2011,50000,rehab rental housing and operating assistance,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,WAY STATION INC Child and Adult Care Food Program (CACFP),Way Station Inc Child And Adult Care Food Program (cacfp),21705-3826,2014,130178.44,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Southern Maryland Center for Family Advocacy,Southern Maryland Center For Family Advocacy,20636-4868,2011,23453,Victim Impact Project,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/DIVISION OF BUSINESS SERVICES,MARYLAND HOSPITALITY EDUCATION FOUNDATION,Maryland Hospitality Education Foundation,21046,2013,62002,CHILD NUTRITION -HUNGER-FREE KIDS MEAL PATTERN,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development/MD Small Business Development Financing Authority,FLIGHTFAB INC,"Flightfab, Inc.",21244,2011,470000,"MSBDFA Contract Finance Line of Credit of $470,000 max",Loan,1,06/30/2011 12:00:00 AM
Maryland State Department of Education/HEAD START,MARYLAND FAMILY NETWORK,Maryland Family Network,21202-4364,2011,44280,HEAD START,Grant,1,06/30/2011 12:00:00 AM
Maryland Innovation Initiative,Living Canopies,Living Canopies,20782,2018,150000,Maryland Innovation Initiative Research Grant,Grant,1,06/30/2018 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,MD National Capital Parks and Planning Commission,Md National Capital Parks And Planning Commission,20737,2010,268647,Grant funding for Arts Organizations,Grant,1,06/30/2010 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,InterAct Story Theatre,Interact Story Theatre,21902,2013,171485,Grantee will provide Performing Arts residencies in Maryland schools as part of the Artist-in-Education Program.,Grant,1,06/30/2013 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,"Washington County Community Mediation Center, Inc.","Washington County Community Mediation Center, Inc.",21740,2009,54423,Community Mediation Performance Grant Funds,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS; CONSERVATION GRANTS CAP,KEITH D. WILES,Keith D. Wiles,21755,2010,58466.8,COVER CROP AND AG CONSERVATION,Grant,1,06/30/2010 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,"Dorchester Arts Center, Inc.","Dorchester Arts Center, Inc.",21613,2009,91156,grant funding for the support of the County Arts Councils,Grant,1,06/30/2009 12:00:00 AM
Resource Conservation Grants,MEADOW FARM JOINT VENTURE LLP,Meadow Farm Joint Venture Llp,21601,2018,76033.5,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Howard Snow Jr,Howard Snow Jr,21161,2009,338661.18,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"GEOSE HAVEN ENTERPRISES, LLC","Geose Haven Enterprises, Llc",21620,2012,55203,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"NAGEL, GEORGE","Nagel, George",21632,2009,20540.63,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Transportation/Highway Safety Operating,METRO WASH COUNCIL OF GOVTS,Metro Wash Council Of Govts,20002-4290,2012,213750,HIGH VISIBILITY ENFORCEMENT,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/Food Services Program,NORTH BAY LLC,North Bay Llc,21901,2012,51970.7,SECTION 4 - SCHOOL LUNCH,Grant,1,06/30/2012 12:00:00 AM
Department of Aging/State Nutrition,"The Washington County Commission on Aging, Inc.","The Washington County Commission On Aging, Inc.",21740,2012,75637,Meals for Seniors,Grant,1,06/30/2012 12:00:00 AM
Department of Human Resources/Office Of Grants Management,"Mission of Love Charities, Inc.","Mission Of Love Charities, Inc.",20743,2011,278605,Funds are used to provide assistance to  low income families who are homeless or in imminent danger of becoming homeless.,Grant,1,06/30/2011 12:00:00 AM
Department of Aging/State Nutrition,"Upper Shore Aging, Inc.","Upper Shore Aging, Inc.",21620,2013,75880,Meals for Seniors,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development/Office of Business Services,Mid-Shore Regional Council,Mid-shore Regional Council,21601,2009,95940.97,Economic Development Grant,Grant,1,06/30/2009 12:00:00 AM
Department of Housing and Community Development/Weatherization - MD Energy Assistance,Community Assistance Network,Community Assistance Network,21222,2011,200000,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Judiciary - Department of Family Administration,"Life Crisis Center, Inc.","Life Crisis Center, Inc.",21803,2015,64866,Legal Services for victims of domestic violence,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/Children at Risk,JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,21218,2012,625616,SAFE AND SUPPORTIVE SCHOOLS,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/OTHER INSTITUTIONS,LIVING CLASSROOMS FOUNDATION,Living Classrooms Foundation,21231,2010,358639,LIVING CLASSROOMS FOUNDATION,Grant,1,06/30/2010 12:00:00 AM
Department of Business and Economic Development/Enterprise Investment Fund,ADVANCED BIONUTRITION CORP,Advanced Bionutrition Corp,21046,2011,100000,Enterprise Investment,Loan,1,06/30/2011 12:00:00 AM
Department of Business and Economic Development/Maryland Biotechnology Center,GLIKNIK INC,Gliknik Inc,21201-1109,2011,180000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2011 12:00:00 AM
"Department of Labor, Licensing and Regulation/Office of the Assistant Secretary",Maryland Workforce Corporation,Maryland Workforce Corporation,21108,2011,367189.54,WIA Statewide:  These grants are State Mandated grants and discretionary grants that benefit the WIA programs,Grant,1,06/30/2011 12:00:00 AM
Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund,Altenera Technology Inc.,Altenera Technology Inc.,20850,2014,100000,Commercialization Investment,Loan,1,06/30/2014 12:00:00 AM
Department of Human Resources/Office of Grants Management,"Mission of Love Charities, Inc.","Mission Of Love Charities, Inc.",20731,2012,278605,Funds are used to provide assistance to  low income families who are homeless or in imminent danger of becoming homeless.,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"CASA Citizens Assisting and Sheltering the Abused, Inc.","Casa Citizens Assisting And Sheltering The Abused, Inc.",21740-5401,2011,13682,Services to Victims of Sexual Assault,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"WRIGHT, DONALD","Wright, Donald",21629,2009,12662.62,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Housing and Community Development/Ellicott City Catastrophic Event,Blues Building Inc,Blues Building Inc,21054,2017,300000,Ellicott City Catastrophic Event,Loan,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/Maryland Tourism Board,"THE MALRYLAND MILITARY HISTORICAL SOCIETY,INC","The Malryland Military Historical Society,inc",21201,2014,52500,Maryland Tourism Board-General Grant,Grant,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/Office of International Investment and Trade,WORLD TRADE CENTER INSTITUTE,World Trade Center Institute,21202,2013,184962,Grant is to assist the WTCI in promoting MD companies and promoting MD internationally and facilitating trade.,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Nature Conservancy,The Nature Conservancy,21625,2017,75487,"Long, Arthur H Farm Easement",Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development - Preservation of Cultural Arts Program,Arena Players Inc,Arena Players Inc,21201,2015,75000,THE GENERAL ASSEMBLY OF MD HAS AUTHORIZED THE GRANT ASSISTANCE THROUGH AN APPROPRIATION THE ANNUAL STATE BUDGET   FROM THE PRESERVATION OF CULTURAL ARTS FUND,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Cover crop,JOHN S SWAINE III,John S Swaine Iii,21662,2013,60146,Cover Crop Grant,Grant,1,06/30/2013 12:00:00 AM
"Military Department /Maryland Military Dept., MEMA",Temple Isaiah,Temple Isaiah,20759,2016,65233.12,UASI Nonprofit Security FFY15,Grant,1,06/30/2016 12:00:00 AM
Maryland Energy Administration - LMI Community Grants,Diversified Housing Development (FY15),Diversified Housing Development (fy15),21244,2015,308000,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,Parent's Place of Mad,Parent's Place Of Mad,21061,2011,136578,Family Involvement,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/Other Institutions,CHESAPEAKE BAY FOUNDATION INC,Chesapeake Bay Foundation Inc,21403,2012,280943,CHESAPEAKE BAY FOUNDATION - STATE AIDED,Grant,1,06/30/2012 12:00:00 AM
Department of Commerce - Maryland Technology Commercialization Fund,PPMLITE LLC,Ppmlite Llc,21218,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Department of Human Resources/Office of Grants Management,"Mission of Love Charities, Inc.","Mission Of Love Charities, Inc.",20743,2010,278605,Funds are used to provide assistance to  low income families who are homeless or in imminent danger of becoming homeless,Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Chesapeake Care Resources, Inc.","Chesapeake Care Resources, Inc.",21901,2013,53990,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Cricket Center, Inc., The","The Cricket Center, Inc.",21811,2011,8800,Multi-Disciplinary Team Services - CAC,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture - Conservation Grants,Calloway Brothers,Calloway Brothers,21837,2015,132997,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,SHEPPARD PRATT HEALTH SYSTEM INC,"Sheppard Pratt Health System, Inc.",21279-0751,2014,57816.39,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",Prince George's General Hospital (Dimensions Healthcare System),Prince George's General Hospital (dimensions Healthcare System),20785,2016,4167,Rape Crisis Intervention,Grant,1,06/30/2016 12:00:00 AM
State Department of Education/TRANSITIONAL EDUCATION FUNDING,THE YOUNG SCHOOL,The Young School,21046,2010,105000,HOYER,Grant,1,06/30/2010 12:00:00 AM
Boards and Commissions/AmeriCorps Competitive,Volunteer Maryland,Volunteer Maryland,21201,2014,255167,AmeriCorps State Service funding,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/LMI Community Grants,Rebuilding Together Montgomery County FY17,Rebuilding Together Montgomery County Fy17,20879,2017,127000,Energy efficiency measures for the low and moderate income sector,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Family League of Baltimore City (FLBC),Family League Of Baltimore City (flbc),21218,2011,482.5,Parent and Youth Empowerment,Grant,1,06/30/2011 12:00:00 AM
Combined Heat and Power (CHP) Resilience Grant Program,Saval Foods Corporation,Saval Foods Corporation,21224,2018,134400,Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities,Grant,1,06/30/2018 12:00:00 AM
Department of Juvenile and Family Services,Mid-Shore Council on Family Violence,Mid-shore Council On Family Violence,21629,2018,61149,Legal services for victims of domestic violence.,Grant,1,06/30/2018 12:00:00 AM
Maryland State Department of Education/DIVISION OF REHABILITATION SERVICES - CLIENT SERVICES,ANNE ARUNDEL WORKFORCE DEVELOPMENT CORP,Anne Arundel Workforce Development Corp.,21108,2017,61059,Rehabilitation Act Of 1973 - Basic Support - Vocational Rehabilitation,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/DORS- OFFICE OF  BLIND AND VISION SERVICES,BLIND INDUSTRIES & SERVICES OF MARYLAND,Blind Industries & Services Of Maryland,21227,2014,50000,INDEPENDENT LIVING-OLDER BLIND,Grant,1,06/30/2014 12:00:00 AM
Maryland Technology Development Corporation/MD Stem Cell Research Fund,"Hugo W. Moser Research Institute at Kennedy Krieger, Inc.","Hugo W. Moser Research Institute At Kennedy Krieger, Inc.",21205,2010,230000,Stem Cell Research Grant,Grant,1,06/30/2010 12:00:00 AM
Maryland State Department of Education/TRANSITIONAL EDUCATION FUNDING,MONOCACY MONTESSORI COMMUNITIES INC,Monocacy Montessori Communities Inc,21701,2017,106488,Judith P. Hoyer Centers,Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA),STAR ASSOCIATES INC,Star Associates Inc,21230,2014,159000,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2014 12:00:00 AM
Governor's Office of Community Initiatives/AmeriCorps Competitive,Maryland Department of Natural Resources,Maryland Department Of Natural Resources,21217,2017,383082,AmeriCorps State Service funding,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/CHILDREN'S CABINET INTERAGENCY FUND,CHOICES INC,Choices Inc,46205,2013,2158722,SYSTEMS REFORM INITIATIVE,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/Office of International Investment and Trade,MARYLAND/ISRAEL DEVELOPMENT CENTER,Maryland/israel Development Center,21202,2012,13808,Grant is to assist the MIDC in promoting economic activity and cooperation  between MD and Israel.,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Cover crop,REID FARM INC,Reid Farm Inc,21659,2013,141478,Cover Crop Grant,Grant,1,06/30/2013 12:00:00 AM
Department of Planning - MDP - Historic Preservation Grant Program (Capital Grant & MHAA Grants),"Historic Sotterley, Inc.","Historic Sotterley, Inc.",20636,2015,88478.69,FY 2013 & 2014 AAHPP & MHAA Grants - FY 13 & 14 AAHPP Funding is for the interior and exterior rehabilitation of corn crib. FY13 MHAA funding is  to create new and updated site interpretive signage and a new comprehensive site brochure.,Grant,1,06/30/2015 12:00:00 AM
Department of Commerce/MD Small Business Development Financing Authority,KMP ENTERPRISES LLC,Kmp Enterprises Llc,21784,2016,273975.14,MSBDFA- Equity Participation Investment Program,Loan,1,06/30/2016 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,Land Preservation Trust,Land Preservation Trust,21031,2016,588000,"Oursler, George C & Edith V Farm Easement",Grant,1,06/30/2016 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,HIPPODROME FOUNDATION INC,Hippodrome Foundation Inc,21201,2014,200000,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/Food Services Program,BAIS YAAKOV ALUMNI ASSOCIATION,Bais Yaakov Alumni Association,21117-3000,2012,9954.76,CHILD NUTRITION ACT-SPECIAL MILK,Grant,1,06/30/2012 12:00:00 AM
Prevention and Health Promotion Administration,Prince George's Co Local Mgmt. Board,Prince George's Co Local Mgmt. Board,20748,2018,443787,Evidenced-Based Home Visiting,Grant,1,06/30/2018 12:00:00 AM
Department of Aging - State Nutrition,"Upper Shore Aging, Inc.","Upper Shore Aging, Inc.",21620,2015,75880,Meals for Seniors,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,MARK S. CALLAHAN,Mark S. Callahan,216291855,2017,63925,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture - Conservation Grants,Lippy Brothers Farms St,Lippy Brothers Farms St,21074,2015,143088,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,Omni House Inc,"Omni House, Inc.",21061,2012,50000,Access to health information technology for patients in Anne Arundel County,Grant,1,06/30/2012 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,LOURIE CTR FOR CHILDRENS SOCIAL & EMOTIONAL,Lourie Ctr For Childrens Social & Emotional,20852,2018,137500,MARYLAND PRE-KINDERGARTEN EXPANSION,Grant,1,06/30/2018 12:00:00 AM
Chesapeake & Atlantic Coastal Bays Trust Fund,Alliance for the Chesapeake Bay,Alliance For The Chesapeake Bay,21403,2018,1152552.29,"Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,"Conference and Visitor's Bureau of Montgomery County, MD","Conference And Visitor's Bureau Of Montgomery County, Md",20850,2009,72784,County Cooperative Marketing Grant Program',Grant,1,06/30/2009 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Johns Hopkins University School of Nursing,Johns Hopkins University School Of Nursing,21205,2009,51591.52,Forensic Nurse Examiner - Adult Training,Grant,1,06/30/2009 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",GOUCHER COLLEGE,Goucher College,21204,2013,200003.67,DISASTER RECOVERY-4034 PUBLIC ASSISTANCE HURRICANE IRENE 2011,Grant,1,06/30/2013 12:00:00 AM
Department of Housing and Community Development/Weatherization - MD Energy Assistance,Shore Up Inc,"Shore Up, Inc.",21804,2011,100000,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture - Conservation Grants,Peace & Plenty Farms LLC,Peace & Plenty Farms Llc,21791,2015,137629.4,"COVER CROP, BEST MANAGEMENT PRATICE",Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/DIV OF REHABILITATION SERVICES-HQ,TRANSCEN INC,"Transcen, Inc.",20850,2013,188698,REHAB ACT OF 1973-BASIC SUPPORT,Grant,1,06/30/2013 12:00:00 AM
Chesapeake & Atlantic Coastal Bays Trust Fund,Spa Creek Conservancy,Spa Creek Conservancy,20404,2018,2023670.58,"Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/Food Services Program,ST BERNARDINE'S LEARNING CTR,St Bernardine's Learning Ctr,21229,2012,113918.31,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Conservation Fund,The Conservation Fund,21403,2016,424469,W F Outten Farms - Easement #2,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/Food Services Program,MARYLAND FOOD BANK INC,"Maryland Food Bank, Inc.",21227,2012,43235.98,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",CHESAPEAKE RANCH ESTATES,Chesapeake Ranch Estates,20657,2012,101217.56,DISASTER REIMBURSEMENT,Grant,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development/Office of Business Development,Greater Baltimore Tech Council,Greater Baltimore Tech Council,21224,2009,93100,"Grantee continually updates and develops programs, and cultivates outside collaborations to meet the ongoing needs of the technology community in Maryland",Grant,1,06/30/2009 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Baltimore International College,Baltimore International College,21202-3230,2010,446504,Sellinger Formula,Grant,1,06/30/2010 12:00:00 AM
Rural Maryland Council,EASTERN SHORE ENTREPRENEURSHIP CTR,Eastern Shore Entrepreneurship Ctr,21601,2018,134420,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention,Greater Baltimore Medical Center (GBMC),Greater Baltimore Medical Center (gbmc),21204,2018,27570.93,Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department of Aging/Congregate Housing,National Capital B'nai B'rith Assisted Housing,National Capital B'nai B'rith Assisted Housing,20906,2010,170500,Congregate Housing Services,Grant,1,06/30/2010 12:00:00 AM
Department of Commerce/MD State Arts Council,GREATER BALTIMORE CULTURAL ALLIANCE,Greater Baltimore Cultural Alliance,21201,2016,65634,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Montgomery County Collaboration Council for Children, Youth &  Families","Montgomery County Collaboration Council For Children, Youth &  Families",20852,2010,58202.98,Disproportionate Minority Contact Reduction,Grant,1,06/30/2010 12:00:00 AM
Department of Health & Mental Hygiene/Family Health Services & Primary Care,MedChi,Med-chi,21201,2010,50000,Maternal Mortality & Infant & Family Support,Grant,1,06/30/2010 12:00:00 AM
Maryland Energy Administration/Freedom Fleet Voucher Program,Montgomery County 476-481,Montgomery County 476-481,20855,2017,32970,Program provides financial assistance for the purchase of new and converted alternative fueled vehicles registered in Maryland,Grant,1,06/30/2017 12:00:00 AM
Statewide Programs Operations,TRI-COUNTY COUNCIL LOWER EASTERN SHORE,Tri-county Council Lower Eastern Shore,21804-1710,2018,6031842.75,Various,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Domestic Violence Sexual Assault Resource Center (Dove Center),Domestic Violence Sexual Assault Resource Center (dove Center),21550,2017,5742,Reimbursable funds from DHMH for SARC  - Community Sexual Violence Prevention,Grant,1,06/30/2017 12:00:00 AM
Department of Environment/Bay Restoration Fund - Septic Systems,JR Enterprises LLP,Jr Enterprises Llp,21738,2010,65000,Septic System Upgrade Program (Statewide),Grant,1,06/30/2010 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA) -,NEW CITY CONSTRUCTION LLC,New City Construction Llc,20707,2012,150000,MSBDFA Equity Participation Loan Term Loan,Loan,1,06/30/2012 12:00:00 AM
Maryland State Department of Education/DIVISION OF REHABILITATION SERVICES - HEADQUARTERS,LIVING INDEPENDENTLY FOR EVERYONE INC,Living Independently For Everyone Inc,20850,2017,149259,Rehab Act Of 1973 - Basic Support,Grant,1,06/30/2017 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,Comprehensive Housing Asst Inc.,Comprehensive Housing Asst Inc.,21215,2016,51746,Foreclosure Mediation,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Health/Prevention and Health Promotion Administration,Greater Baden Medical Center,Greater Baden Medical Center,20772,2017,200000,Babies Born Healthy,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING,THE LEARNING CENTER,The Learning Center,21740,2013,99000,HOYER GENERAL FUNDS,Grant,1,06/30/2013 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Washington Adventist University,Washington Adventist University,20912-7796,2010,680533,Sellinger Formula,Grant,1,06/30/2010 12:00:00 AM
Commerce/MD Small Business Development Financing Authority,LEGACY BUILDERS & CONSTRUCTION SERVICES INC,Legacy Builders & Construction Services Inc,21201,2017,530007,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2017 12:00:00 AM
Judiciary/Department of Family Administration,Mid-Shore Council on Family Violence,Mid-shore Council On Family Violence,21629,2013,61149,Legal services for victims of domestic violence,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,WARD FOUNDATION INC,"Ward Foundation, Inc.",21804,2011,26432.75,MD State Arts Council Folklife Grant,Grant,1,06/30/2011 12:00:00 AM
State Department of Education/TRANSITIONAL EDUCATION FUNDING,MARYLAND FAMILY NETWORK,Maryland Family Network,21202-4364,2010,291170,HOYER,Grant,1,06/30/2010 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,COLLEGE OF NOTRE DAME OF MARYLAND,College Of Notre Dame Of Maryland,21210,2018,74124,MARYLAND PRE-KINDERGARTEN EXPANSION,Grant,1,06/30/2018 12:00:00 AM
Department of Planning/MHT - Historic Preservation Grant Program (Capital Grants),Progressive Horizons Inc.,Progressive Horizons Inc.,21244,2010,50000,"FY 2008 MHT Capital Grant - Initial stabilization of ""The Mount"", located in Baltimore, Maryland, which is part of a multi-phase project, including roof repairs/replacement, masonry repairs to walls and foundation, and carpentry repairs to windows, doors, trim and porches.",Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/Asst to State for Educating Students with Disabilities,MARYLAND COALITION FOR INCLUSIVE EDUCATION INC,Maryland Coalition For Inclusive Education Inc,21076,2012,260000,IDEA-PART B - STATE GRANTS DISCRETIONARY,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/Children at Risk,Y OF CENTRAL MARYLAND,Y Of Central Maryland,21204,2016,1926152,21st Century Community Learning Centers,Grant,1,06/30/2016 12:00:00 AM
Children's Cabinet Interagency Fund,"Montgomery County Collaboration Council for Children, Youth and Families, Inc.","Montgomery County Collaboration Council For Children, Youth And Families, Inc.",20850,2018,1589669,Supports Local Management Board,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/CHILDREN AT RISK,BLUFORD DREW JEMISON STEM ACADEMY INC,Bluford Drew Jemison Stem Academy Inc,21216,2013,80977,21ST CENTURY COMMUNITY LEARNING CENTERS,Grant,1,06/30/2013 12:00:00 AM
Department of Business & Economic Development/Rural Broadband Assistance Fund,Maryland Broadband Cooperative,Maryland Broadband Cooperative,21801,2010,1500000,Grant supports the Phase II of the fiber optic network project designed to ultimately make broadband access available to all areas of rural Maryland,Grant,1,06/30/2010 12:00:00 AM
Maryland State Department of Education/STUDENTS WITH DISABILITIES,GARRETT CO PARTNERSHIP FOR CHILDREN & FAMILIES INC,Garrett Co Partnership For Children & Families Inc,21550-0059,2011,10332,STUDENTS WITH DISAB-INFANTS & TODDLERS,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development/Community Services Block Grant,Neighborhood Housing Services Of Baltimore Inc,"Neighborhood Housing Services Of Baltimore, Inc.",21201,2011,150000,operating expenses,Grant,1,06/30/2011 12:00:00 AM
"Department of Human Resources/Local Family Investment, Family Investment Administration & Office of Grants Management",MARYLAND FOOD BANK INC,"Maryland Food Bank, Inc.",21227,2016,3957851.12,Funds are used to provide food to soup kitchens and pantries.,Grant,1,06/30/2016 12:00:00 AM
Morgan State University/Research,The Farfel Group,The Farfel Group,21207,2010,90578,Center for Health Disparities,Grant,1,06/30/2010 12:00:00 AM
Department of Housing and Community Development/Operating Assistance Grants (OAG) Counseling,Legal Aid Bureau Inc,Legal Aid Bureau Inc.,21202,2013,1373400,Operating Assistance Grants (OAG) Counseling,Loan,1,06/30/2013 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Lakeside Title Company,Lakeside Title Company,21044,2013,115000,Tieman - S Mountain SP Property Acq,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Health/Prevention and Health Promotion Administration,Calvert Memorial Hospital,Calvert Memorial Hospital,20678,2017,110000,New/Expanded Dental Services,Grant,1,06/30/2017 12:00:00 AM
